name,location.formatted_address,latitude,longitude,distance
Boulangerie Pâtisserie Wellington,"3990 Wellington (entre De l'Église & Hickson), Verdun QC H4G 1V3",45.46393651914137,-73.56671059636794,141
Café la Tazza,"3922, rue Wellington (entre de l'Église & Hickson), Verdun QC H4G 1V3",45.464619477322856,-73.56663557920184,210
Garage Café,"275 rue Hickson (coin Wellington), Verdun QC H4G 1S5",45.464981925966114,-73.567522033344,273
Bossa Prêt-À-Manger,"4354 Wellington, Verdun QC H4G 1W4",45.460467993550346,-73.56693879385226,271
Nouveau Delhi Express,"3876 Rue Wellington, Verdun QC H4G 1V2",45.46524470723392,-73.56660710637536,277
Station W,"3852, rue Wellington, Verdun QC H4G 1V2",45.46547170715051,-73.56661433575134,302
Les Délices de l'Ile Maurice,"272 Hickson (Wellington & Ethel), Verdun QC H4G 2J6",45.4648327168923,-73.56731975727071,251
Zappy Pizza,"11 De L'Église, Verdun QC H4G 2L8",45.462746967413786,-73.56376976565195,166
Janine Cafe-Brunch,"3900 Wellington (Hickson), Verdun QC H4G 1V3",45.46479267405666,-73.56649594101258,226
Aka-Fuji,"3872 Rue Wellington (Hickson), Verdun QC H4G 1V2",45.46518697469543,-73.56665365288917,271
