station_id,venue_count,avg_rating,avg_reviews,id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,business_hours,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address,attributes.business_url,attributes.about_this_biz_bio_photo_dict,attributes.about_this_biz_business_recommendation,attributes.business_temp_closed,attributes.about_this_biz_bio,attributes.about_this_biz_bio_first_name,attributes.about_this_biz_bio_last_name,attributes.about_this_biz_history,attributes.about_this_biz_role,attributes.about_this_biz_specialties,attributes.about_this_biz_year_established,attributes.accepted_cards.credit,attributes.accepted_cards.none,attributes.accepted_cards.debit,attributes.alcohol,attributes.ambience.hipster,attributes.ambience.casual,attributes.ambience.touristy,attributes.ambience.trendy,attributes.ambience.intimate,attributes.ambience.romantic,attributes.ambience.classy,attributes.ambience.upscale,attributes.best_nights,attributes.bike_parking,attributes.business_accepts_apple_pay,attributes.business_parking.garage,attributes.business_parking.street,attributes.business_parking.validated,attributes.business_parking.lot,attributes.business_parking.valet,attributes.caters,attributes.dogs_allowed,attributes.drive_thru,attributes.good_for_dancing,attributes.good_for_kids,attributes.good_for_meal.breakfast,attributes.good_for_meal.brunch,attributes.good_for_meal.lunch,attributes.good_for_meal.dinner,attributes.good_for_meal.latenight,attributes.good_for_meal.dessert,attributes.happy_hour,attributes.has_pool_table,attributes.has_tv,attributes.menu_url,attributes.noise_level,attributes.open24_hours,attributes.platform_delivery,attributes.restaurants_attire,attributes.restaurants_delivery,attributes.restaurants_good_for_groups,attributes.restaurants_reservations,attributes.restaurants_table_service,attributes.restaurants_take_out,attributes.waitlist_reservation,attributes.wi_fi,attributes.liked_by_vegans,attributes.outdoor_seating,attributes.liked_by_vegetarians,attributes.good_for_meal,attributes.ambience,attributes.business_parking,attributes.accepted_cards,attributes.about_this_biz_bio_photo_dict.photo_id,attributes.about_this_biz_bio_photo_dict.biz_user_id,attributes.best_nights.monday,attributes.best_nights.tuesday,attributes.best_nights.wednesday,attributes.best_nights.thursday,attributes.best_nights.friday,attributes.best_nights.saturday,attributes.best_nights.sunday,attributes.ambience.divey,attributes.good_for_working,attributes.service_locations_biz_dict,attributes.has_gluten_free
0,10.0,4.41,35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10.0,4.42,309.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10.0,4.4399999999999995,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0013e5d100f68121835052a381ab2f23,,,,T4Vg3C9_cShGJL4Hq0Yahw,les-street-monkeys-montréal,Les Street Monkeys,https://s3-media0.fl.yelpcdn.com/bphoto/aS6KnC4z_ioRFOZMs23EAg/o.jpg,False,https://www.yelp.com/biz/les-street-monkeys-montr%C3%A9al?adjust_creative=lxQoJUBJdqc7dg9Y8Wu7EQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lxQoJUBJdqc7dg9Y8Wu7EQ,84.0,"[{'alias': 'cambodian', 'title': 'Cambodian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.4,[],$$,+15147681818,+1 514-768-1818,546.9797254282108,"[{'open': [{'is_overnight': False, 'start': '1730', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1730', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1730', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1730', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1730', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",45.46767,-73.56688,3625 Rue Wellington,,,Montreal,H4G 1T9,CA,QC,"['3625 Rue Wellington', 'Montreal, QC H4G 1T9', 'Canada']",https://www.streetmonkeys.ca,,[],,,,,,,,,True,False,True,full_bar,True,True,False,True,False,False,False,False,,False,,False,True,False,False,False,True,False,,,False,,,,True,,,,,False,https://www.streetmonkeys.ca/wp-content/uploads/2021/06/sm_foodmenu_2021_0606.pdf,average,,,casual,False,True,True,True,True,,no,,False,,,,,,,,,,,,,,,,,,
0013e5d100f68121835052a381ab2f23,,,,xsVUe3vfQkUuFBJcKAzDuA,beba-montréal-2,Beba,https://s3-media0.fl.yelpcdn.com/bphoto/AEEHCJXLk5KLoO5HeUhVrQ/o.jpg,False,https://www.yelp.com/biz/beba-montr%C3%A9al-2?adjust_creative=lxQoJUBJdqc7dg9Y8Wu7EQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lxQoJUBJdqc7dg9Y8Wu7EQ,32.0,"[{'alias': 'argentine', 'title': 'Argentine'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",4.7,[],,+15147507087,+1 514-750-7087,269.70672232583547,"[{'open': [{'is_overnight': False, 'start': '1730', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1730', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1730', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1730', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1730', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1730', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",45.4648687681207,-73.56781391229633,3900 Rue Éthel,,,Montreal,H4G 2J6,CA,QC,"['3900 Rue Éthel', 'Montreal, QC H4G 2J6', 'Canada']",https://www.restaurantbeba.ca,,[],,,,,,,,,False,False,False,,False,False,False,False,False,False,False,False,,,,False,False,False,False,False,,,,,,False,False,False,False,False,False,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0013e5d100f68121835052a381ab2f23,,,,_-u3js_j6WHkRZ416gBeog,bistro-entre-ciel-et-terre-verdun-2,Bistro Entre Ciel et Terre,https://s3-media0.fl.yelpcdn.com/bphoto/06IHYWFiXphDi1BlG_HaSA/o.jpg,False,https://www.yelp.com/biz/bistro-entre-ciel-et-terre-verdun-2?adjust_creative=lxQoJUBJdqc7dg9Y8Wu7EQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lxQoJUBJdqc7dg9Y8Wu7EQ,34.0,"[{'alias': 'french', 'title': 'French'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.1,[],$$,+15147680740,+1 514-768-0740,553.6056103210236,"[{'open': [{'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '1400', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '0900', 'end': '1400', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",45.4629621,-73.5730338,750 Rue de l'Eglise,,,Verdun,H4G 2M8,CA,QC,"[""750 Rue de l'Eglise"", 'Verdun, QC H4G 2M8', 'Canada']",,,[],,,,,"Date d'ouverture: 4 mars 2011

L'ouverture de ce bistro fait suite à une expérience de 12 ans en restauration du chef propriétaire. Après avoir travaillé au sein de plusieurs restaurants et avoir appris avec de grands chefs, il décide d'ouvrir son propre restaurant pour partager sa passion avec les gens du quartier.",,"Le Bistro Entre Ciel et Terre est un petit restaurant de quartier des plus convivial. L'endroit est tout aussi bien parfait pour une soirée en tête qu'un 5 à 7 entre collègues ou un dîner d'affaire.

Le menu étant très varié, vous pouvez choisir entre un burger, des moules, des pâtes, du poisson et bien plus encore.

Déjeuner à tous les jours.",2011,True,False,True,full_bar,,True,,False,,,False,False,,True,False,False,True,False,False,False,False,,,,True,False,,True,True,False,,True,,True,,average,,,casual,False,True,True,,True,,no,,True,,,,,,,,,,,,,,,,,,
0013e5d100f68121835052a381ab2f23,,,,0anXSUX9KG5sQEzs-Of8Vg,les-délices-de-l-île-maurice-verdun-2,Les Délices de l'Île Maurice,https://s3-media0.fl.yelpcdn.com/bphoto/6FK1fZfwDSC0BZcSIA8rFw/o.jpg,False,https://www.yelp.com/biz/les-d%C3%A9lices-de-l-%C3%AEle-maurice-verdun-2?adjust_creative=lxQoJUBJdqc7dg9Y8Wu7EQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lxQoJUBJdqc7dg9Y8Wu7EQ,20.0,"[{'alias': 'mauritius', 'title': 'Mauritius'}]",4.3,[],$$,+15147686023,+1 514-768-6023,249.35611253164006,"[{'open': [{'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]",45.46479,-73.56747,272 Rue Hickson,,,Verdun,H4G 2J6,CA,QC,"['272 Rue Hickson', 'Verdun, QC H4G 2J6', 'Canada']",,,,,,,,,,,,False,True,False,none,False,False,False,False,False,False,False,False,,True,,False,False,False,False,False,,,,,True,,,,,,,,,True,,quiet,,,casual,False,True,True,,True,,no,,False,False,,,,,,,,,,,,,,,,,
0013e5d100f68121835052a381ab2f23,,,,cMkL8AfcYJKYMceG0oQ5NQ,bossa-montréal,Bossa,https://s3-media0.fl.yelpcdn.com/bphoto/gCpJOfSLWqHjMud3yA2hAg/o.jpg,False,https://www.yelp.com/biz/bossa-montr%C3%A9al?adjust_creative=lxQoJUBJdqc7dg9Y8Wu7EQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lxQoJUBJdqc7dg9Y8Wu7EQ,33.0,"[{'alias': 'importedfood', 'title': 'Imported Food'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.3,[],,+14383871211,+1 438-387-1211,283.94736232067805,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '1700', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",45.460407,-73.567082,4354 Rue Wellington,,,Montreal,H4G 1W4,CA,QC,"['4354 Rue Wellington', 'Montreal, QC H4G 1W4', 'Canada']",,,[],,,,,,,,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0013e5d100f68121835052a381ab2f23,,,,8pYKU2mvaY495cCbS1d0Mw,comon-verdun,Comon,https://s3-media0.fl.yelpcdn.com/bphoto/BpZwWCMbws312YgwntXAIg/o.jpg,False,https://www.yelp.com/biz/comon-verdun?adjust_creative=lxQoJUBJdqc7dg9Y8Wu7EQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lxQoJUBJdqc7dg9Y8Wu7EQ,41.0,"[{'alias': 'korean', 'title': 'Korean'}]",4.6,[],,+15145433969,+1 514-543-3969,174.23388260053372,"[{'open': [{'is_overnight': False, 'start': '1700', 'end': '2130', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2130', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2130', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]",45.46413,-73.56487,3969 Boulevard LaSalle,,,Verdun,H4G 2A1,CA,QC,"['3969 Boulevard LaSalle', 'Verdun, QC H4G 2A1', 'Canada']",,,[],,,,,,,"Our restaurant is specialized in deep fried chicken, Korean style. We also have different sorts of Korean food.",2018,False,False,False,,False,False,False,False,False,False,False,False,,,,False,False,False,False,False,,,,,,False,False,False,False,False,False,,,True,,,,,,False,,True,,True,,,,,,,,,,,,,,,,,,,,,,
0013e5d100f68121835052a381ab2f23,,,,qmt8bDeB0jOhwoRJUYJvTQ,ganadara-verdun,GaNaDaRa,https://s3-media0.fl.yelpcdn.com/bphoto/kxpReF9Vn2ZFJGlAupd9gg/o.jpg,False,https://www.yelp.com/biz/ganadara-verdun?adjust_creative=lxQoJUBJdqc7dg9Y8Wu7EQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lxQoJUBJdqc7dg9Y8Wu7EQ,4.0,"[{'alias': 'korean', 'title': 'Korean'}]",4.5,[],,+15147678880,+1 514-767-8880,365.8559334170491,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]",45.4596451,-73.56710851192474,4436 Rue Wellington,,,Verdun,H4G 1W5,CA,QC,"['4436 Rue Wellington', 'Verdun, QC H4G 1W5', 'Canada']",https://www.ganadara.ca/en/find-us/verdun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ganadara.ca/en/menu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
