name,rating,reviews,category,address,lat,lon,station_id
Les Street Monkeys,4.4,84,Cambodian,"3625 Rue Wellington, Montreal, QC H4G 1T9, Canada",45.46767,-73.56688,0013e5d100f68121835052a381ab2f23
Beba,4.7,32,Argentine,"3900 Rue Éthel, Montreal, QC H4G 2J6, Canada",45.4648687681207,-73.56781391229633,0013e5d100f68121835052a381ab2f23
Bistro Entre Ciel et Terre,4.1,34,French,"750 Rue de l'Eglise, Verdun, QC H4G 2M8, Canada",45.4629621,-73.5730338,0013e5d100f68121835052a381ab2f23
Janine Café,4.6,72,Breakfast & Brunch,"3900 Rue Wellington, Montreal, QC H4G 1V3, Canada",45.46475,-73.56657,0013e5d100f68121835052a381ab2f23
Les Délices de l'Île Maurice,4.3,20,Mauritius,"272 Rue Hickson, Verdun, QC H4G 2J6, Canada",45.46479,-73.56747,0013e5d100f68121835052a381ab2f23
Moa Moa,4.7,10,Korean,"4424 Rue Wellington, Montreal, QC H4G 1W5, Canada",45.459841,-73.567091,0013e5d100f68121835052a381ab2f23
Bossa,4.3,33,Imported Food,"4354 Rue Wellington, Montreal, QC H4G 1W4, Canada",45.460407,-73.567082,0013e5d100f68121835052a381ab2f23
Comon,4.6,41,Korean,"3969 Boulevard LaSalle, Verdun, QC H4G 2A1, Canada",45.46413,-73.56487,0013e5d100f68121835052a381ab2f23
Rita,3.9,27,Italian,"3681 Rue Wellington, Verdun, QC H4G 1V1, Canada",45.467,-73.5669,0013e5d100f68121835052a381ab2f23
GaNaDaRa,4.5,4,Korean,"4436 Rue Wellington, Verdun, QC H4G 1W5, Canada",45.4596451,-73.56710851192474,0013e5d100f68121835052a381ab2f23
Ramen Isshin,4.0,4,Ramen,"3876 Wellington Street, Montreal, QC H4G 1V2, Canada",45.465207516595406,-73.5666514,0013e5d100f68121835052a381ab2f23
Station W,4.3,71,Breakfast & Brunch,"3852 Rue Wellington, Verdun, QC H4G 3M6, Canada",45.4654329,-73.5667712,0013e5d100f68121835052a381ab2f23
Villa Wellington,4.0,65,Peruvian,"4701 Rue Wellington, Verdun, QC H4G 1X2, Canada",45.45776,-73.56772,0013e5d100f68121835052a381ab2f23
Chez Boss & Fils,4.6,19,Seafood,"3610 Rue Wellington, Verdun, QC H4G 1T6, Canada",45.4676081105863,-73.5665655009322,0013e5d100f68121835052a381ab2f23
I Am Pho,4.0,1,Vietnamese,"4319 Wellington Street, Verdun, QC H4G 1W3, Canada",45.460728535318445,-73.56734030616784,0013e5d100f68121835052a381ab2f23
Hong Mère,4.2,34,Chinese,"3795 Rue Wellington, Verdun, QC H4G, Canada",45.4659199,-73.56705,0013e5d100f68121835052a381ab2f23
Millmans,4.0,7,Breakfast & Brunch,"3779 Rue Wellington, Montreal, QC H4G 1V1, Canada",45.46606,-73.56704,0013e5d100f68121835052a381ab2f23
Escondite Verdun,3.8,6,Mexican,"3715 Rue Wellington, Montreal, QC H4G 1V1, Canada",45.466723525788915,-73.5668015001736,0013e5d100f68121835052a381ab2f23
Chinois Hao Hao,4.0,3,Chinese,"721 Rue de l'Eglise, Verdun, QC H4G 2N1, Canada",45.46326,-73.57262,0013e5d100f68121835052a381ab2f23
Honi Honi,3.5,24,Hawaiian,"4559 Rue Wellington, Montreal, QC H4G 1W8, Canada",45.45868,-73.56762,0013e5d100f68121835052a381ab2f23
